<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.20	4278.10	4330.30	4258.60	4319.30	63043	0	10
2014.03.21	4316.00	4353.40	4295.40	4302.40	50242	0	10
2014.03.24	4290.70	4332.10	4264.10	4289.70	62422	0	10
2014.03.25	4291.00	4365.60	4287.70	4352.60	53197	0	10
2014.03.26	4353.40	4399.10	4351.10	4364.70	57992	0	10
2014.03.27	4363.90	4390.60	4357.70	4379.90	64080	0	10
2014.03.28	4379.20	4412.60	4375.60	4402.10	48561	0	10
2014.03.31	4416.30	4431.10	4388.30	4395.50	58494	0	0
2014.04.01	4395.40	4440.80	4390.30	4430.60	34313	0	20
2014.04.02	4430.10	4441.80	4420.30	4431.50	40289	0	0
2014.04.03	4430.90	4470.60	4415.80	4455.90	54289	0	0
2014.04.04	4455.70	4497.50	4445.80	4450.50	67619	0	0
2014.04.07	4450.80	4465.50	4419.30	4435.00	73808	0	0
2014.04.08	4434.80	4448.60	4382.80	4410.70	68103	0	0
2014.04.09	4411.00	4462.00	4410.00	4453.90	54097	0	0
2014.04.10	4453.20	4466.20	4361.20	4372.00	89044	0	0
2014.04.11	4372.00	4387.20	4332.70	4346.20	82755	0	10
2014.04.14	4334.60	4387.70	4317.50	4382.60	56107	0	0
2014.04.15	4382.60	4404.20	4323.40	4388.50	72739	0	10
2014.04.16	4388.50	4422.50	4375.20	4410.10	64737	0	10
2014.04.17	4413.10	4452.30	4391.30	4440.80	57246	0	0
2014.04.21	4458.00	4458.80	4442.00	4451.80	22988	0	0
2014.04.22	4452.30	4488.10	4442.30	4483.20	40183	0	0
2014.04.23	4483.50	4488.90	4447.80	4465.80	43651	0	0
2014.04.24	4465.80	4502.00	4441.50	4465.10	46760	0	10
2014.04.25	4465.10	4477.00	4434.00	4453.00	35501	0	20
2014.04.28	4459.20	4481.00	4424.80	4465.30	34405	0	0
2014.04.29	4465.30	4506.80	4451.80	4484.20	21018	0	20
2014.04.30	4484.20	4496.20	4469.30	4488.30	43936	0	10
2014.05.01	4488.30	4490.80	4462.50	4482.10	14778	0	100
2014.05.02	4482.10	4488.00	4448.30	4461.00	43013	0	10
2014.05.05	4453.80	4472.90	4399.30	4468.30	34781	0	0
2014.05.06	4468.80	4482.70	4413.30	4422.90	48758	0	0
2014.05.07	4422.90	4460.60	4405.30	4453.90	52259	0	10
2014.05.08	4454.10	4509.50	4440.50	4482.60	99977	0	0
2014.05.09	4482.80	4500.20	4464.80	4487.40	82781	0	0
2014.05.12	4459.50	4503.80	4457.80	4500.40	64032	0	0
2014.05.13	4500.40	4516.80	4495.50	4508.80	61082	0	10
2014.05.14	4508.80	4512.00	4489.30	4491.70	40046	0	10
2014.05.15	4491.70	4518.10	4441.50	4457.10	60034	0	10
2014.05.16	4453.20	4464.30	4417.40	4464.30	61693	0	0
2014.05.19	4461.80	4477.40	4417.30	4471.80	46207	0	0
2014.05.20	4461.80	4475.20	4429.70	4439.60	30949	0	10
2014.05.21	4439.60	4474.60	4425.80	4462.80	38804	0	20
2014.05.22	4462.20	4485.90	4450.30	4474.50	40180	0	0
2014.05.23	4475.30	4497.50	4467.80	4492.80	27724	0	0
2014.05.26	4491.40	4529.00	4486.10	4515.50	17960	0	0
2014.05.27	4512.60	4537.20	4506.50	4531.70	26917	0	0
2014.05.28	4531.70	4542.50	4518.70	4527.90	24110	0	10
2014.05.29	4523.80	4535.80	4515.30	4530.50	22996	0	0
2014.05.30	4530.50	4533.10	4495.20	4530.60	16572	0	10
2014.06.02	4517.90	4529.50	4501.30	4517.50	22828	0	0
2014.06.03	4517.50	4517.50	4498.00	4502.80	15664	0	10
2014.06.04	4503.10	4509.00	4469.30	4502.90	20282	0	0
2014.06.05	4502.80	4579.50	4485.80	4552.60	39662	0	0
2014.06.06	4552.60	4593.00	4539.00	4593.00	19489	0	10
2014.06.09	4596.30	4599.60	4569.10	4590.90	16668	0	0
2014.06.10	4590.90	4600.10	4578.10	4592.90	14464	0	20
2014.06.11	4592.90	4592.90	4546.60	4556.90	20221	0	20
2014.06.12	4556.60	4574.20	4536.30	4548.20	27896	0	0
2014.06.13	4548.50	4556.80	4505.80	4537.30	29863	0	0
2014.06.16	4534.10	4541.30	4506.30	4515.80	30348	0	0
2014.06.17	4521.80	4542.90	4506.80	4534.80	27488	0	0
2014.06.18	4534.80	4563.40	4527.90	4555.60	19782	0	10
2014.06.19	4556.20	4581.40	4553.50	4560.70	23868	0	0
2014.06.20	4560.40	4574.10	4530.90	4541.10	22879	0	0
2014.06.23	4534.00	4553.70	4492.90	4521.50	26289	0	0
2014.06.24	4521.50	4536.10	4495.10	4499.40	17254	0	20
2014.06.25	4499.40	4499.40	4447.30	4462.70	21270	0	10
2014.06.26	4462.90	4476.80	4408.00	4456.20	30383	0	0
2014.06.27	4456.20	4461.80	4425.80	4450.30	20307	0	10
2014.06.30	4442.40	4458.50	4405.80	4421.20	29162	0	0
2014.07.01	4421.50	4467.50	4420.40	4457.10	24581	0	0
2014.07.02	4457.10	4468.00	4435.00	4444.70	17931	0	10
2014.07.03	4444.80	4492.30	4435.80	4481.50	31166	0	0
2014.07.04	4482.00	4490.30	4464.80	4471.30	9984	0	0
2014.07.07	4468.70	4472.00	4402.30	4412.90	23050	0	0
2014.07.08	4413.70	4422.80	4337.80	4355.80	33584	0	0
2014.07.09	4355.80	4369.30	4328.80	4364.90	22898	0	10
2014.07.10	4364.90	4366.80	4276.30	4309.00	42396	0	10
2014.07.11	4309.30	4330.80	4298.30	4324.40	32901	0	0
2014.07.14	4324.70	4356.40	4322.30	4337.90	24941	0	0
2014.07.15	4337.90	4348.50	4293.30	4318.60	28432	0	10
2014.07.16	4318.60	4373.10	4313.40	4362.00	21778	0	10
2014.07.17	4362.00	4364.70	4278.50	4279.70	37067	0	20
2014.07.18	4279.40	4353.30	4263.80	4342.70	39946	0	0
2014.07.21	4340.80	4341.50	4293.50	4305.90	42497	0	0
2014.07.22	4305.90	4372.30	4304.90	4356.80	23797	0	20
2014.07.23	4356.70	4396.80	4352.70	4370.50	11378	0	20
2014.07.24	4370.50	4415.30	4346.30	4392.60	9479	0	70
2014.07.25	4392.60	4397.80	4316.00	4339.80	8603	0	80
2014.07.28	4337.20	4358.80	4307.30	4345.00	19986	0	0
2014.07.29	4345.30	4390.80	4331.30	4351.20	18764	0	0
2014.07.30	4351.20	4380.00	4301.80	4320.60	11302	0	100
2014.07.31	4320.60	4337.30	4221.30	4225.10	14535	0	100
2014.08.01	4225.10	4249.30	4181.30	4201.50	15424	0	100
2014.08.04	4200.30	4248.80	4200.20	4235.70	22155	0	0
2014.08.05	4235.20	4252.80	4185.50	4192.30	27437	0	0
2014.08.06	4193.00	4222.50	4168.80	4192.90	28046	0	0
2014.08.07	4192.90	4213.30	4119.30	4127.30	15811	0	100
2014.08.08	4127.30	4184.30	4098.20	4179.30	17292	0	100
2014.08.11	4188.20	4205.30	4162.30	4182.30	21721	0	0
2014.08.12	4182.30	4192.00	4149.30	4172.60	9946	0	100
2014.08.13	4172.30	4204.80	4168.50	4194.60	9945	0	100
2014.08.14	4194.60	4218.80	4165.00	4215.60	10374	0	100
2014.08.15	4215.60	4257.50	4153.00	4191.80	10636	0	100
2014.08.18	4206.70	4242.30	4199.00	4233.40	16820	0	0
2014.08.19	4234.30	4259.00	4231.00	4253.50	13270	0	0
2014.08.20	4253.50	4255.70	4215.80	4239.60	7999	0	100
2014.08.21	4239.90	4294.80	4230.30	4284.40	15372	0	0
2014.08.22	4284.40	4293.80	4231.80	4255.30	9191	0	100
2014.08.25	4255.90	4343.80	4255.90	4330.20	11705	0	0
2014.08.26	4330.00	4396.90	4318.80	4380.30	18282	0	0
2014.08.27	4380.30	4401.80	4376.70	4386.80	6120	0	100
2014.08.28	4386.80	4393.30	4352.30	4372.40	9174	0	100
2014.08.29	4373.60	4392.80	4335.30	4384.30	16713	0	0
2014.09.01	4379.80	4390.80	4356.40	4379.60	10572	0	0
2014.09.02	4378.70	4402.90	4360.40	4378.40	17231	0	0
2014.09.03	4378.50	4445.60	4374.90	4412.90	19451	0	0
2014.09.04	4414.10	4508.80	4401.30	4489.70	22099	0	0
2014.09.05	4489.70	4498.50	4469.20	4496.20	10459	0	100
2014.09.08	4492.70	4496.80	4453.80	4463.60	15574	0	0
2014.09.09	4463.60	4482.80	4435.80	4443.70	9270	0	100
2014.09.10	4443.70	4471.30	4434.30	4462.80	8647	0	100
2014.09.11	4462.90	4465.30	4410.00	4445.30	10185	0	100
2014.09.12	4445.10	4451.00	4418.50	4436.20	16678	0	0
2014.09.15	4420.50	4441.00	4411.80	4430.60	16450	0	0
2014.09.16	4431.50	4435.60	4390.00	4429.60	15325	0	0
2014.09.17	4429.60	4455.50	4419.50	4439.30	8896	0	100
2014.09.18	4441.20	4470.30	4434.00	4457.10	16111	0	0
2014.09.19	4456.50	4497.00	4451.30	4456.80	22077	0	0
2014.09.22	4455.50	4464.80	4428.30	4431.50	20182	0	0
2014.09.23	4431.50	4439.50	4336.30	4336.90	10897	0	100
2014.09.24	4337.30	4426.80	4336.30	4422.50	8886	0	100
2014.09.25	4423.10	4431.30	4341.30	4355.00	22505	0	0
2014.09.26	4355.60	4422.80	4340.00	4414.50	22000	0	0
2014.09.29	4413.10	4415.20	4332.30	4358.40	30671	0	0
2014.09.30	4358.40	4435.80	4356.80	4392.50	11853	0	100
2014.10.01	4390.50	4428.90	4338.00	4357.60	39395	0	0
2014.10.02	4351.00	4371.90	4231.30	4265.60	50084	0	0
2014.10.03	4265.60	4297.80	4259.90	4290.80	8377	0	100
2014.10.06	4287.80	4333.80	4260.00	4268.10	41655	0	0
2014.10.07	4268.10	4276.50	4168.20	4169.20	14263	0	100
2014.10.08	4169.20	4228.30	4153.30	4223.20	16069	0	100
2014.10.09	4222.50	4233.70	4073.90	4079.70	60997	0	0
2014.10.10	4079.60	4126.00	4062.60	4062.90	20846	0	100
2014.10.13	4040.10	4103.40	4013.40	4024.80	59128	0	0
2014.10.14	4030.00	4101.90	4004.40	4078.40	64331	0	0
2014.10.15	4073.30	4096.40	3885.00	3940.70	80047	0	0
2014.10.16	3940.80	3986.30	3786.50	3903.30	27783	0	100
2014.10.17	3903.30	4041.30	3896.70	4009.00	22211	0	100
2014.10.20	4021.30	4047.90	3960.30	4009.90	62336	0	0
2014.10.21	4005.80	4105.20	3961.50	4104.60	55020	0	0
2014.10.22	4104.60	4117.80	4060.10	4072.80	17807	0	100
2014.10.23	4072.80	4166.80	4045.80	4146.50	17413	0	100
2014.10.24	4142.40	4153.80	4114.30	4147.50	52477	0	0
2014.10.27	4148.10	4176.00	4064.30	4108.40	16454	0	100
2014.10.28	4108.20	4136.00	4097.80	4123.10	12963	0	100
2014.10.29	4121.40	4135.30	4089.00	4107.00	14908	0	100
2014.10.30	4106.40	4160.00	4050.30	4147.50	16737	0	100
2014.10.31	4147.80	4246.80	4145.10	4234.80	17604	0	100
2014.11.03	4236.10	4239.00	4184.00	4189.40	36018	0	0
2014.11.04	4188.10	4209.00	4117.20	4146.60	45157	0	0
2014.11.05	4149.40	4215.50	4140.90	4201.30	40856	0	0
2014.11.06	4201.40	4279.50	4178.90	4238.90	47096	0	0
2014.11.07	4236.40	4254.50	4158.80	4194.00	43767	0	0
2014.11.10	4183.10	4225.50	4173.50	4221.30	34073	0	0
2014.11.11	4221.50	4252.30	4214.70	4241.30	10120	0	100
2014.11.12	4241.30	4242.50	4173.50	4191.80	12156	0	100
2014.11.13	4191.80	4220.80	4152.30	4189.90	13649	0	100
2014.11.14	4188.00	4213.00	4163.30	4201.50	41441	0	0
2014.11.17	4198.10	4239.90	4159.80	4231.20	34805	0	0
2014.11.18	4231.20	4281.80	4221.30	4269.20	10075	0	100
2014.11.19	4269.50	4290.40	4249.50	4269.10	32390	0	0
2014.11.20	4269.00	4273.40	4200.00	4230.30	35225	0	0
2014.11.21	4232.00	4356.40	4224.50	4339.80	37478	0	0
2014.11.24	4338.90	4400.70	4333.30	4375.90	29154	0	0
2014.11.25	4376.60	4404.00	4360.80	4384.70	32536	0	0
2014.11.26	4384.70	4399.00	4363.30	4392.10	9521	0	100
2014.11.27	4387.70	4399.50	4364.30	4376.90	20973	0	0
2014.11.28	4374.10	4396.50	4352.80	4375.50	31711	0	0
2014.12.01	4375.40	4389.20	4333.80	4372.80	41798	0	0
2014.12.02	4375.70	4425.90	4370.80	4394.50	40351	0	0
2014.12.03	4395.50	4407.90	4377.80	4395.00	29864	0	0
2014.12.04	4395.90	4431.00	4309.30	4352.00	44252	0	0
2014.12.05	4352.00	4423.80	4346.50	4410.80	10923	0	100
2014.12.08	4412.20	4415.70	4347.00	4363.30	33811	0	0
2014.12.09	4364.20	4368.40	4257.80	4293.90	54821	0	0
2014.12.10	4293.90	4306.30	4196.80	4203.60	17053	0	100
2014.12.11	4203.60	4249.00	4166.60	4174.80	18222	0	100
2014.12.12	4174.80	4202.50	4079.30	4083.30	17515	0	100
2014.12.15	4062.20	4144.50	3986.40	4010.10	66268	0	0
2014.12.16	4008.50	4099.80	3924.80	4019.80	93876	0	0
2014.12.17	4020.10	4165.80	4018.10	4153.10	22288	0	100
2014.12.18	4153.10	4284.50	4147.10	4283.60	16244	0	100
2014.12.19	4271.80	4312.20	4202.80	4257.50	68518	0	0
2014.12.22	4254.80	4300.60	4238.80	4260.00	41985	0	0
2014.12.23	4270.30	4333.20	4258.30	4306.30	37335	0	0
2014.12.24	4310.80	4329.70	4293.80	4297.80	6290	0	0
2014.12.29	4303.80	4331.20	4246.30	4314.20	38665	0	0
2014.12.30	4315.30	4315.60	4236.80	4249.70	33518	0	0
2014.12.31	4252.10	4279.70	4248.00	4270.30	6749	0	0
2015.01.02	4233.30	4312.90	4216.40	4252.30	46943	0	0
2015.01.05	4238.10	4277.30	4102.00	4122.50	35796	0	0
2015.01.06	4121.80	4150.30	4061.30	4083.80	40651	0	0
2015.01.07	4083.80	4154.50	4078.00	4146.00	33999	0	100
2015.01.08	4145.30	4271.30	4144.90	4238.70	29970	0	0
2015.01.09	4238.70	4274.30	4148.30	4187.50	32451	0	100
2015.01.12	4177.30	4253.00	4163.50	4213.10	42663	0	0
2015.01.13	4211.10	4311.00	4195.00	4250.90	71527	0	0
2015.01.14	4249.90	4302.30	4201.40	4253.60	97881	0	0
2015.01.15	4253.40	4339.30	4117.30	4293.30	54384	0	100
2015.01.16	4292.10	4420.80	4267.50	4409.30	83353	0	0
2015.01.19	4406.20	4432.00	4364.80	4390.10	50086	0	0
2015.01.20	4387.90	4467.80	4383.10	4444.70	66235	0	0
2015.01.21	4444.50	4489.50	4405.80	4483.20	32580	0	100
2015.01.22	4483.20	4610.00	4460.50	4592.90	35652	0	100
2015.01.23	4592.90	4674.50	4582.10	4629.50	31105	0	100
2015.01.26	4595.30	4695.00	4529.40	4689.10	64743	0	0
2015.01.27	4689.40	4691.60	4591.80	4656.20	32916	0	100
2015.01.28	4656.00	4681.40	4539.50	4549.70	34089	0	100
2015.01.29	4549.70	4683.50	4532.50	4672.10	36391	0	100
2015.01.30	4672.10	4677.10	4581.30	4590.30	36175	0	100
2015.02.02	4595.00	4663.00	4578.70	4647.80	87689	0	0
2015.02.03	4649.00	4702.60	4624.00	4693.30	74477	0	0
2015.02.04	4693.30	4697.90	4610.30	4630.50	32593	0	100
2015.02.05	4630.50	4708.00	4622.50	4693.10	29191	0	100
2015.02.06	4693.10	4707.50	4649.50	4664.50	24995	0	100
2015.02.09	4660.00	4661.90	4610.00	4650.00	69669	0	0
2015.02.10	4650.00	4717.80	4634.80	4706.60	25676	0	100
2015.02.11	4705.60	4731.80	4657.80	4710.20	46909	0	0
2015.02.12	4710.00	4750.20	4662.80	4744.00	26237	0	100
2015.02.13	4737.70	4779.50	4735.20	4770.40	44842	0	0
2015.02.16	4764.30	4769.90	4719.00	4721.00	24665	0	0
2015.02.17	4721.10	4788.90	4681.40	4775.30	54839	0	0
2015.02.18	4775.30	4808.50	4768.30	4791.20	17072	0	100
2015.02.19	4792.00	4841.40	4769.30	4820.90	45671	0	0
2015.02.20	4816.60	4887.60	4779.40	4867.00	60740	0	0
2015.02.23	4865.30	4875.80	4830.50	4851.00	39390	0	0
2015.02.24	4851.00	4899.50	4842.80	4887.30	15765	0	100
2015.02.25	4885.70	4896.40	4863.30	4875.50	28367	0	0
2015.02.26	4878.10	4910.90	4873.10	4900.60	33670	0	0
2015.02.27	4900.60	4951.80	4890.60	4928.40	15114	0	100
2015.03.02	4936.80	4953.60	4899.30	4923.00	33495	0	0
2015.03.03	4924.30	4936.80	4861.40	4882.00	34410	0	0
2015.03.04	4881.80	4922.80	4856.00	4915.40	19908	0	100
2015.03.05	4915.10	4975.00	4910.60	4955.20	46038	0	0
2015.03.06	4955.50	4987.00	4939.80	4944.70	45854	0	0
2015.03.09	4962.50	4962.50	4917.80	4936.20	17113	0	100
2015.03.10	4936.10	4940.30	4868.80	4887.00	22374	0	100
2015.03.11	4886.70	5010.80	4883.50	4991.50	20627	0	100
2015.03.12	4991.40	5008.60	4979.80	4993.60	18285	0	100
2015.03.13	4994.50	5033.80	4968.30	5020.80	22130	0	100
2015.03.16	5022.90	5071.80	5000.80	5055.90	16147	0	100
2015.03.17	5057.40	5075.00	5005.80	5036.80	21045	0	100
2015.03.18	5039.40	5062.30	5000.80	5018.90	23921	0	100
2015.03.19	5022.80	5059.80	5006.50	5026.50	23017	0	100
2015.03.20	5029.70	5105.30	5021.90	5084.00	19441	0	100
2015.03.23	5074.50	5108.90	5033.30	5036.00	20575	0	100
2015.03.24	5038.60	5103.00	5031.40	5072.40	19665	0	100
2015.03.25	5072.40	5087.00	5005.30	5013.90	22158	0	100
2015.03.26	5011.80	5019.30	4932.30	4998.00	31081	0	100
2015.03.27	5000.30	5048.00	4997.30	5040.50	26066	0	100
2015.03.30	5033.70	5100.80	5021.80	5069.70	39501	0	0
2015.03.31	5078.40	5102.10	5010.60	5022.70	53650	0	0
2015.04.01	5023.10	5113.30	4943.70	5083.90	68630	0	0
2015.04.02	5080.90	5095.30	5056.80	5080.80	40502	0	0
2015.04.03	5080.80	5089.40	5028.80	5039.00	4874	0	100
