<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.20	9218.50	9308.00	9161.10	9283.80	157320	0	10
2014.03.21	9277.10	9387.70	9272.20	9296.80	144616	0	10
2014.03.24	9278.70	9370.70	9186.30	9212.30	178812	0	10
2014.03.25	9214.90	9393.40	9202.60	9362.90	158886	0	10
2014.03.26	9364.50	9499.20	9362.90	9404.70	179422	0	10
2014.03.27	9403.00	9481.90	9388.60	9444.90	189453	0	10
2014.03.28	9443.40	9602.90	9436.50	9584.10	129615	0	10
2014.03.31	9599.80	9645.90	9543.00	9561.00	168544	0	0
2014.04.01	9560.70	9642.50	9557.70	9616.10	111624	0	10
2014.04.02	9615.20	9658.60	9606.50	9636.90	142128	0	0
2014.04.03	9635.70	9702.30	9590.50	9638.10	159543	0	0
2014.04.04	9637.80	9732.50	9614.50	9629.60	197072	0	0
2014.04.07	9617.30	9633.20	9450.50	9488.30	199906	0	0
2014.04.08	9488.00	9541.50	9391.30	9467.10	213976	0	0
2014.04.09	9467.70	9565.10	9465.90	9541.50	167195	0	0
2014.04.10	9540.00	9592.60	9332.50	9352.90	250574	0	0
2014.04.11	9352.90	9400.60	9267.60	9275.10	227051	0	10
2014.04.14	9245.60	9354.60	9194.00	9333.80	219939	0	0
2014.04.15	9333.80	9355.30	9093.50	9231.40	242452	0	10
2014.04.16	9231.40	9362.90	9211.80	9320.00	180088	0	10
2014.04.17	9326.00	9476.20	9276.50	9454.90	177632	0	0
2014.04.21	9468.50	9481.10	9443.90	9467.30	23103	0	0
2014.04.22	9468.50	9623.00	9436.50	9603.60	140248	0	0
2014.04.23	9604.20	9626.00	9538.80	9587.10	151286	0	0
2014.04.24	9587.10	9656.80	9417.40	9524.00	164151	0	10
2014.04.25	9524.00	9528.40	9375.30	9413.00	118215	0	10
2014.04.28	9424.10	9505.50	9371.80	9467.80	107926	0	0
2014.04.29	9467.80	9619.60	9462.40	9574.60	56251	0	10
2014.04.30	9574.60	9630.50	9558.90	9620.80	148504	0	10
2014.05.01	9620.80	9632.50	9583.50	9616.60	14721	0	100
2014.05.02	9616.60	9635.60	9535.10	9562.20	96762	0	10
2014.05.05	9548.50	9559.00	9403.00	9535.20	110921	0	0
2014.05.06	9536.10	9586.50	9433.50	9450.00	186602	0	0
2014.05.07	9450.00	9556.10	9394.30	9547.70	116962	0	10
2014.05.08	9547.70	9623.50	9484.80	9559.90	131846	0	10
2014.05.09	9560.20	9618.80	9551.80	9599.30	142283	0	0
2014.05.12	9595.90	9742.10	9585.10	9740.30	132805	0	0
2014.05.13	9740.30	9788.80	9732.60	9759.60	102797	0	10
2014.05.14	9759.60	9781.60	9723.40	9730.20	87368	0	10
2014.05.15	9730.20	9816.20	9633.30	9665.90	136499	0	10
2014.05.16	9666.20	9684.80	9573.00	9643.40	115406	0	0
2014.05.19	9639.00	9680.10	9531.50	9658.10	94333	0	0
2014.05.20	9657.80	9689.10	9588.80	9612.40	101300	0	0
2014.05.21	9612.40	9712.20	9582.20	9689.40	63455	0	10
2014.05.22	9689.70	9740.20	9685.80	9718.40	48240	0	10
2014.05.23	9719.90	9779.60	9703.30	9770.70	71444	0	0
2014.05.26	9771.10	9896.90	9770.80	9881.30	38508	0	0
2014.05.27	9881.60	9951.90	9871.50	9941.70	74854	0	0
2014.05.28	9941.70	9970.90	9897.50	9926.00	56617	0	10
2014.05.29	9925.70	9960.90	9917.00	9952.80	55724	0	0
2014.05.30	9952.80	9972.60	9921.00	9953.10	47426	0	10
2014.06.02	9949.90	9990.50	9904.50	9953.70	67716	0	0
2014.06.03	9953.70	9958.00	9885.70	9916.50	42745	0	10
2014.06.04	9917.10	9939.80	9865.50	9928.80	66835	0	0
2014.06.05	9928.50	10013.50	9894.00	9963.30	96877	0	0
2014.06.06	9963.30	10006.70	9940.40	10002.20	52384	0	10
2014.06.09	10015.10	10021.60	9981.60	10006.80	43349	0	0
2014.06.10	10006.80	10033.80	9982.50	10027.60	36133	0	10
2014.06.11	10027.60	10028.80	9918.60	9937.00	54801	0	10
2014.06.12	9936.40	9971.60	9893.50	9911.80	68834	0	0
2014.06.13	9912.40	9946.10	9827.30	9903.90	87101	0	0
2014.06.16	9902.20	9925.70	9860.00	9896.50	80067	0	0
2014.06.17	9911.60	9984.00	9857.70	9932.60	85790	0	0
2014.06.18	9932.60	10001.90	9919.30	9986.00	55159	0	10
2014.06.19	9987.20	10022.60	9979.80	10005.50	60210	0	0
2014.06.20	10004.90	10049.70	9975.50	9992.60	60391	0	0
2014.06.23	9975.40	10014.60	9882.80	9925.20	79443	0	0
2014.06.24	9925.20	9952.40	9896.00	9896.60	43520	0	10
2014.06.25	9896.60	9917.70	9838.60	9881.20	55106	0	10
2014.06.26	9881.50	9908.70	9749.50	9831.30	81335	0	0
2014.06.27	9831.30	9849.40	9792.10	9844.40	40463	0	10
2014.06.30	9826.90	9891.80	9799.70	9832.30	80752	0	0
2014.07.01	9832.90	9930.40	9830.80	9909.20	67626	0	0
2014.07.02	9909.20	9939.00	9891.30	9910.20	39010	0	10
2014.07.03	9910.50	10038.90	9903.30	10026.00	64917	0	0
2014.07.04	10026.50	10037.60	10005.50	10015.20	22365	0	0
2014.07.07	10011.00	10019.00	9897.30	9918.70	64127	0	0
2014.07.08	9920.20	9928.00	9747.50	9789.20	84433	0	0
2014.07.09	9789.20	9830.50	9750.50	9820.20	52524	0	10
2014.07.10	9820.20	9824.00	9615.90	9677.00	78259	0	10
2014.07.11	9677.60	9707.70	9623.20	9668.60	74624	0	0
2014.07.14	9672.10	9796.30	9672.10	9764.70	56443	0	0
2014.07.15	9764.70	9790.20	9688.90	9740.90	69908	0	10
2014.07.16	9740.90	9872.60	9730.40	9845.00	53414	0	10
2014.07.17	9845.00	9854.00	9679.30	9681.70	71322	0	10
2014.07.18	9681.10	9747.30	9645.80	9735.90	103157	0	0
2014.07.21	9730.70	9731.30	9592.10	9620.90	94872	0	0
2014.07.22	9620.90	9739.50	9619.00	9689.60	50202	0	10
2014.07.23	9689.30	9802.30	9688.70	9749.00	30954	0	20
2014.07.24	9749.00	9811.30	9676.50	9760.20	30838	0	100
2014.07.25	9760.20	9793.30	9620.00	9650.30	30729	0	100
2014.07.28	9650.80	9673.00	9525.80	9605.60	62396	0	0
2014.07.29	9606.20	9692.80	9572.30	9621.90	63329	0	0
2014.07.30	9621.90	9705.00	9571.50	9601.00	38285	0	100
2014.07.31	9601.90	9603.40	9354.30	9360.80	82004	0	0
2014.08.01	9360.20	9404.80	9149.80	9185.50	72031	0	0
2014.08.04	9184.30	9259.30	9128.50	9200.50	60853	0	0
2014.08.05	9199.60	9236.00	9080.50	9089.80	71101	0	0
2014.08.06	9091.30	9165.80	9029.00	9107.80	70250	0	0
2014.08.07	9107.80	9165.30	8974.00	8998.60	40422	0	100
2014.08.08	8998.60	9099.00	8902.50	9094.70	40350	0	100
2014.08.11	9107.80	9198.80	9079.80	9155.90	53121	0	0
2014.08.12	9155.90	9179.80	9047.60	9092.10	27544	0	100
2014.08.13	9091.50	9214.50	9081.00	9202.40	25151	0	100
2014.08.14	9202.70	9265.80	9141.30	9250.80	48747	0	0
2014.08.15	9252.90	9325.50	9043.00	9133.00	53213	0	0
2014.08.18	9167.70	9270.00	9164.40	9267.00	41604	0	0
2014.08.19	9268.80	9352.00	9266.70	9332.50	35640	0	0
2014.08.20	9333.70	9340.80	9246.30	9330.20	42362	0	0
2014.08.21	9330.80	9407.00	9277.30	9382.60	40115	0	0
2014.08.22	9382.60	9413.50	9289.50	9347.30	25734	0	100
2014.08.25	9350.80	9515.00	9350.80	9477.90	33442	0	0
2014.08.26	9477.60	9593.30	9444.00	9571.90	47488	0	0
2014.08.27	9571.30	9601.10	9546.30	9554.20	32079	0	0
2014.08.28	9553.00	9566.30	9415.30	9477.80	50977	0	0
2014.08.29	9480.20	9517.60	9368.80	9471.60	43437	0	0
2014.09.01	9458.50	9508.60	9424.00	9469.00	26029	0	0
2014.09.02	9467.20	9579.50	9461.80	9496.30	42375	0	0
2014.09.03	9496.60	9683.00	9489.40	9609.40	54749	0	0
2014.09.04	9615.30	9736.80	9538.30	9724.50	58336	0	0
2014.09.05	9725.00	9789.80	9689.30	9788.50	55132	0	0
2014.09.08	9784.50	9788.70	9713.50	9735.30	46517	0	0
2014.09.09	9735.30	9768.80	9675.00	9688.80	26984	0	100
2014.09.10	9689.10	9745.80	9635.80	9726.90	49760	0	0
2014.09.11	9727.20	9737.00	9628.20	9699.60	53725	0	0
2014.09.12	9699.30	9720.50	9617.00	9639.50	46248	0	0
2014.09.15	9608.90	9684.80	9582.80	9665.90	46351	0	0
2014.09.16	9667.70	9678.50	9587.30	9673.90	47830	0	0
2014.09.17	9673.90	9717.50	9648.80	9681.10	23690	0	100
2014.09.18	9685.00	9807.20	9677.20	9807.20	38438	0	0
2014.09.19	9806.00	9891.30	9776.80	9792.30	52501	0	0
2014.09.22	9786.30	9812.30	9719.80	9721.40	51921	0	0
2014.09.23	9720.20	9745.80	9548.00	9549.20	57092	0	0
2014.09.24	9550.10	9682.80	9533.80	9675.60	26209	0	100
2014.09.25	9676.80	9719.00	9467.50	9487.00	60229	0	0
2014.09.26	9488.20	9547.00	9454.80	9538.80	59764	0	0
2014.09.29	9537.30	9538.30	9368.00	9419.90	65104	0	0
2014.09.30	9419.90	9494.80	9402.00	9432.20	31980	0	100
2014.10.01	9433.30	9520.00	9326.80	9357.10	79184	0	0
2014.10.02	9362.10	9412.50	9162.50	9225.00	81097	0	0
2014.10.03	9225.00	9301.60	9210.20	9281.30	18088	0	100
2014.10.06	9330.00	9348.60	9143.30	9161.70	98513	0	0
2014.10.07	9163.80	9178.80	8992.30	8994.40	75756	0	0
2014.10.08	9017.80	9125.30	8959.80	9117.10	87931	0	0
2014.10.09	9104.80	9141.50	8883.20	8894.90	110254	0	0
2014.10.10	8919.80	8959.50	8764.30	8770.00	115669	0	0
2014.10.13	8698.00	8872.80	8680.50	8705.50	102312	0	0
2014.10.14	8770.50	8857.50	8700.80	8819.10	113780	0	0
2014.10.15	8825.50	8854.80	8475.80	8574.20	112878	0	0
2014.10.16	8625.80	8662.50	8350.30	8559.10	177562	0	0
2014.10.17	8581.80	8856.30	8559.10	8815.80	104367	0	0
2014.10.20	8859.50	8890.30	8680.80	8772.10	84503	0	0
2014.10.21	8725.00	8955.50	8642.80	8954.30	84661	0	0
2014.10.22	8949.00	8975.70	8841.00	8864.20	77356	0	0
2014.10.23	8864.20	9074.00	8818.50	9035.80	39521	0	100
2014.10.24	8992.80	9045.00	8954.80	9017.80	75714	0	0
2014.10.27	9021.60	9095.30	8835.80	8923.50	39375	0	100
2014.10.28	8923.00	9119.00	8920.60	9099.80	31176	0	100
2014.10.29	9102.80	9160.00	9029.30	9079.20	34639	0	100
2014.10.30	9077.90	9159.50	8898.30	9139.10	41816	0	100
2014.10.31	9139.70	9343.30	9134.30	9323.80	39535	0	100
2014.11.03	9307.00	9344.00	9234.30	9259.40	81273	0	0
2014.11.04	9258.80	9318.30	9148.50	9206.30	80423	0	0
2014.11.05	9258.50	9330.30	9202.20	9300.20	74451	0	0
2014.11.06	9282.00	9466.00	9263.60	9410.40	91791	0	0
2014.11.07	9443.50	9444.30	9238.00	9286.30	80145	0	0
2014.11.10	9299.80	9352.50	9222.00	9345.50	71590	0	0
2014.11.11	9345.80	9399.80	9322.20	9365.90	25154	0	100
2014.11.12	9354.70	9368.30	9187.80	9240.90	65037	0	0
2014.11.13	9283.30	9310.30	9167.30	9243.40	83223	0	0
2014.11.14	9260.80	9288.50	9182.80	9235.00	77894	0	0
2014.11.17	9236.00	9333.30	9126.00	9317.40	58588	0	0
2014.11.18	9325.50	9490.30	9308.40	9470.30	54616	0	0
2014.11.19	9464.00	9523.30	9437.00	9481.40	61157	0	0
2014.11.20	9466.50	9489.80	9380.80	9487.50	57604	0	0
2014.11.21	9505.30	9735.30	9477.80	9714.80	55997	0	0
