<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.20	14572.00	14585.00	14201.00	14344.00	23179	0	100
2014.03.21	14352.00	14483.00	14280.00	14335.00	12888	0	100
2014.03.24	14295.00	14541.00	14274.00	14382.00	22369	0	100
2014.03.25	14385.00	14529.00	14304.00	14461.00	20686	0	300
2014.03.26	14463.00	14582.00	14307.00	14313.00	24306	0	100
2014.03.27	14311.00	14667.00	14217.00	14577.00	26745	0	100
2014.03.28	14575.00	14840.00	14520.00	14746.00	17206	0	200
2014.03.31	14782.00	14881.00	14712.00	14812.00	25697	0	0
2014.04.01	14812.00	14902.00	14731.00	14900.00	15337	0	300
2014.04.02	14900.00	15077.00	14867.00	15067.00	17698	0	100
2014.04.03	15067.00	15173.00	14978.00	15072.00	16233	0	100
2014.04.04	15077.00	15163.00	14803.00	14858.00	23263	0	200
2014.04.07	14860.00	14898.00	14677.00	14697.00	28815	0	0
2014.04.08	14697.00	14764.00	14287.00	14357.00	23210	0	100
2014.04.09	14352.00	14535.00	14268.00	14507.00	25353	0	0
2014.04.10	14507.00	14526.00	13965.00	14045.00	28984	0	100
2014.04.11	14045.00	14081.00	13840.00	13878.00	34204	0	100
2014.04.14	13870.00	14143.00	13817.00	14107.00	31061	0	0
2014.04.15	14107.00	14164.00	13903.00	14159.00	31521	0	100
2014.04.16	14159.00	14459.00	14139.00	14434.00	22170	0	100
2014.04.17	14434.00	14518.00	14348.00	14489.00	23072	0	300
2014.04.18	14482.00	14540.00	14440.00	14507.00	3012	0	0
2014.04.21	14519.00	14649.00	14478.00	14544.00	9652	0	0
2014.04.22	14544.00	14604.00	14339.00	14474.00	14336	0	100
2014.04.23	14469.00	14554.00	14419.00	14524.00	19255	0	0
2014.04.24	14524.00	14569.00	14264.00	14419.00	20131	0	100
2014.04.25	14417.00	14564.00	14257.00	14311.00	16369	0	100
2014.04.28	14297.00	14409.00	14210.00	14384.00	15462	0	0
2014.04.29	14382.00	14479.00	14356.00	14434.00	4307	0	100
2014.04.30	14437.00	14445.00	14201.00	14282.00	16393	0	100
2014.05.01	14282.00	14493.00	14278.00	14467.00	12579	0	200
2014.05.02	14467.00	14567.00	14340.00	14366.00	21485	0	100
2014.05.05	14374.00	14401.00	14247.00	14337.00	9881	0	0
2014.05.06	14337.00	14353.00	14178.00	14232.00	10850	0	100
2014.05.07	14232.00	14280.00	14025.00	14185.00	22763	0	100
2014.05.08	14183.00	14256.00	14055.00	14080.00	27525	0	0
2014.05.09	14080.00	14268.00	14068.00	14173.00	19954	0	100
2014.05.12	14189.00	14321.00	14127.00	14316.00	14360	0	0
2014.05.13	14313.00	14473.00	14305.00	14458.00	17435	0	0
2014.05.14	14458.00	14458.00	14238.00	14253.00	12225	0	100
2014.05.15	14253.00	14364.00	14023.00	14093.00	19557	0	100
2014.05.16	14096.00	14169.00	14004.00	14169.00	18950	0	0
2014.05.19	14173.00	14194.00	13893.00	14133.00	14190	0	0
2014.05.20	14131.00	14141.00	13953.00	13983.00	14461	0	0
2014.05.21	13983.00	14221.00	13925.00	14173.00	12550	0	200
2014.05.22	14173.00	14428.00	14145.00	14381.00	11061	0	100
2014.05.23	14381.00	14593.00	14368.00	14573.00	8854	0	200
2014.05.26	14566.00	14618.00	14523.00	14613.00	5646	0	0
2014.05.27	14603.00	14748.00	14548.00	14673.00	11261	0	0
2014.05.28	14668.00	14719.00	14553.00	14638.00	12103	0	0
2014.05.29	14643.00	14748.00	14565.00	14743.00	10798	0	0
2014.05.30	14742.00	14744.00	14570.00	14713.00	13542	0	0
2014.06.02	14721.00	15081.00	14713.00	15071.00	13816	0	0
2014.06.03	15071.00	15087.00	14956.00	15059.00	7806	0	200
2014.06.04	15059.00	15166.00	14984.00	15161.00	7881	0	100
2014.06.05	15156.00	15168.00	14999.00	15148.00	16010	0	0
2014.06.06	15148.00	15190.00	15040.00	15185.00	8565	0	100
2014.06.09	15188.00	15209.00	15088.00	15153.00	7579	0	0
2014.06.10	15153.00	15182.00	14910.00	15018.00	7566	0	100
2014.06.11	15018.00	15070.00	14901.00	14938.00	8171	0	100
2014.06.12	14936.00	15039.00	14798.00	14867.00	13334	0	0
2014.06.13	14866.00	15156.00	14803.00	15054.00	13051	0	0
2014.06.16	15071.00	15075.00	14854.00	14940.00	10556	0	0
2014.06.17	14942.00	15061.00	14916.00	15017.00	11074	0	0
2014.06.18	15020.00	15216.00	14997.00	15177.00	9648	0	0
2014.06.19	15182.00	15403.00	15127.00	15382.00	11694	0	0
2014.06.20	15377.00	15486.00	15297.00	15456.00	9502	0	0
2014.06.23	15442.00	15450.00	15270.00	15320.00	8838	0	0
2014.06.24	15315.00	15481.00	15246.00	15297.00	9697	0	0
2014.06.25	15308.00	15383.00	15215.00	15335.00	11639	0	0
2014.06.26	15331.00	15346.00	15211.00	15308.00	10912	0	0
2014.06.27	15306.00	15311.00	15018.00	15126.00	11910	0	0
2014.06.30	15126.00	15191.00	15042.00	15159.00	9750	0	0
2014.07.01	15159.00	15436.00	15141.00	15409.00	8914	0	200
2014.07.02	15409.00	15446.00	15341.00	15401.00	7098	0	100
2014.07.03	15404.00	15446.00	15312.00	15429.00	9761	0	0
2014.07.04	15451.00	15526.00	15407.00	15449.00	4435	0	0
2014.07.07	15444.00	15476.00	15286.00	15298.00	7057	0	0
2014.07.08	15294.00	15392.00	15196.00	15247.00	11062	0	0
2014.07.09	15245.00	15367.00	15176.00	15367.00	10304	0	0
2014.07.10	15362.00	15372.00	14996.00	15098.00	12931	0	0
2014.07.11	15101.00	15223.00	15066.00	15165.00	9571	0	0
2014.07.14	15186.00	15388.00	15167.00	15339.00	6538	0	0
2014.07.15	15341.00	15443.00	15316.00	15400.00	13675	0	0
2014.07.16	15396.00	15472.00	15346.00	15431.00	8748	0	0
2014.07.17	15431.00	15467.00	15192.00	15207.00	10980	0	100
2014.07.18	15211.00	15347.00	15097.00	15327.00	12555	0	0
2014.07.21	15335.00	15373.00	15182.00	15258.00	6236	0	0
2014.07.22	15257.00	15393.00	15242.00	15333.00	10150	0	0
2014.07.23	15332.00	15378.00	15309.00	15348.00	5916	0	0
2014.07.24	15349.00	15384.00	15224.00	15328.00	4902	0	0
2014.07.25	15328.00	15538.00	15318.00	15433.00	3129	0	700
2014.07.28	15426.00	15599.00	15401.00	15546.00	6965	0	0
2014.07.29	15546.00	15692.00	15542.00	15605.00	3332	0	200
2014.07.30	15605.00	15782.00	15588.00	15752.00	4483	0	700
2014.07.31	15752.00	15767.00	15457.00	15462.00	4862	0	700
2014.08.01	15462.00	15603.00	15392.00	15427.00	6274	0	700
2014.08.04	15432.00	15533.00	15387.00	15497.00	6548	0	0
2014.08.05	15497.00	15522.00	15162.00	15227.00	4125	0	700
2014.08.06	15230.00	15287.00	15008.00	15083.00	8890	0	0
2014.08.07	15083.00	15241.00	14960.00	14993.00	5653	0	700
2014.08.08	14993.00	15061.00	14661.00	15027.00	7196	0	700
2014.08.11	15097.00	15192.00	14973.00	15147.00	5713	0	0
2014.08.12	15147.00	15238.00	15072.00	15127.00	3244	0	700
2014.08.13	15127.00	15327.00	15102.00	15312.00	2704	0	700
2014.08.14	15312.00	15347.00	15237.00	15337.00	2473	0	700
2014.08.15	15337.00	15382.00	15202.00	15302.00	3949	0	700
2014.08.18	15310.00	15432.00	15298.00	15430.00	4453	0	0
2014.08.19	15432.00	15507.00	15412.00	15502.00	4442	0	0
2014.08.20	15502.00	15572.00	15397.00	15555.00	2914	0	700
2014.08.21	15560.00	15657.00	15517.00	15647.00	3980	0	0
2014.08.22	15647.00	15648.00	15442.00	15542.00	3236	0	700
2014.08.25	15555.00	15637.00	15548.00	15582.00	2833	0	0
2014.08.26	15583.00	15613.00	15462.00	15547.00	3461	0	0
2014.08.27	15537.00	15580.00	15444.00	15469.00	3589	0	0
2014.08.28	15467.00	15482.00	15334.00	15404.00	5009	0	0
2014.08.29	15409.00	15459.00	15345.00	15434.00	4929	0	0
2014.09.01	15449.00	15479.00	15435.00	15477.00	2527	0	0
2014.09.02	15519.00	15834.00	15509.00	15767.00	4999	0	0
2014.09.03	15764.00	15825.00	15679.00	15704.00	5904	0	0
