<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.20	1858.90	1874.10	1852.70	1872.60	13449	0	10
2014.03.21	1872.00	1884.30	1863.30	1866.30	13204	0	20
2014.03.24	1862.80	1873.50	1849.30	1857.80	16955	0	20
2014.03.25	1857.70	1871.30	1855.40	1866.20	14702	0	10
2014.03.26	1865.60	1875.90	1848.60	1852.40	16472	0	10
2014.03.27	1852.20	1855.50	1841.00	1850.50	20027	0	10
2014.03.28	1850.00	1866.40	1848.80	1857.50	12624	0	20
2014.03.31	1863.50	1875.20	1862.00	1871.20	16012	0	0
2014.04.01	1871.20	1886.00	1869.40	1885.60	9064	0	10
2014.04.02	1885.60	1893.30	1883.40	1890.50	10090	0	10
2014.04.03	1889.80	1894.50	1882.50	1891.30	15002	0	0
2014.04.04	1891.10	1899.60	1862.70	1866.10	27261	0	0
2014.04.07	1868.00	1868.60	1841.50	1846.00	25638	0	0
2014.04.08	1846.00	1855.30	1837.30	1851.20	15071	0	10
2014.04.09	1851.20	1872.60	1850.20	1872.00	10959	0	10
2014.04.10	1872.10	1873.70	1830.10	1835.70	27142	0	0
2014.04.11	1835.70	1838.00	1813.50	1815.40	25768	0	10
2014.04.14	1813.00	1834.20	1809.50	1831.20	27602	0	0
2014.04.15	1831.50	1850.00	1815.50	1850.00	35603	0	0
2014.04.16	1849.60	1863.20	1846.70	1858.00	27304	0	0
2014.04.17	1859.00	1870.00	1853.50	1865.70	18429	0	0
2014.04.18	1865.00	1865.00	1863.20	1864.00	17	0	40
2014.04.21	1866.00	1872.00	1862.50	1871.00	6922	0	0
2014.04.22	1870.60	1885.00	1866.70	1879.70	11609	0	0
2014.04.23	1879.70	1884.70	1873.40	1884.00	10565	0	10
2014.04.24	1884.90	1888.20	1869.70	1879.90	20579	0	0
2014.04.25	1878.60	1879.70	1858.80	1863.70	16339	0	0
2014.04.28	1867.30	1877.30	1850.00	1872.00	17787	0	0
2014.04.29	1871.70	1881.10	1871.00	1876.20	14542	0	0
2014.04.30	1876.00	1886.00	1872.00	1885.00	21126	0	0
2014.05.01	1885.40	1888.50	1876.80	1884.70	9176	0	0
2014.05.02	1884.70	1891.10	1878.20	1881.00	16533	0	10
2014.05.05	1880.50	1885.70	1866.50	1883.20	14803	0	0
2014.05.06	1883.20	1887.00	1867.60	1870.20	13406	0	10
2014.05.07	1869.50	1880.50	1860.00	1879.50	24343	0	0
2014.05.08	1879.00	1889.00	1869.50	1874.50	24080	0	0
2014.05.09	1874.50	1879.20	1867.00	1878.90	15082	0	10
2014.05.12	1878.60	1897.90	1877.70	1897.60	11878	0	0
2014.05.13	1897.60	1901.90	1895.70	1898.50	10034	0	10
2014.05.14	1898.50	1900.70	1885.60	1888.50	9737	0	20
2014.05.15	1888.50	1891.40	1860.70	1869.70	16328	0	10
2014.05.16	1870.00	1878.20	1864.20	1877.30	20323	0	0
2014.05.19	1879.20	1885.70	1868.70	1884.50	13836	0	0
2014.05.20	1884.00	1887.20	1867.50	1871.70	20396	0	0
2014.05.21	1871.70	1888.70	1869.10	1886.50	12003	0	10
2014.05.22	1886.20	1896.20	1885.10	1892.70	14113	0	0
