<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.20	00:00:00	4278.10	4285.00	4268.00	4271.70	1285	0	600
2014.03.20	04:00:00	4271.40	4278.50	4265.30	4273.60	1751	0	600
2014.03.20	08:00:00	4274.00	4294.80	4258.60	4277.30	15518	0	10
2014.03.20	12:00:00	4277.30	4283.80	4260.00	4279.10	19036	0	20
2014.03.20	16:00:00	4280.00	4330.30	4277.80	4327.50	21686	0	10
2014.03.20	20:00:00	4327.30	4328.80	4317.50	4319.30	3767	0	20
2014.03.21	00:00:00	4316.00	4320.50	4311.00	4317.50	911	0	600
2014.03.21	04:00:00	4317.60	4327.70	4317.50	4326.80	851	0	600
2014.03.21	08:00:00	4326.70	4351.40	4323.90	4348.90	10315	0	10
2014.03.21	12:00:00	4348.70	4353.40	4322.90	4327.40	14364	0	10
2014.03.21	16:00:00	4327.40	4349.40	4308.90	4310.40	14595	0	10
2014.03.21	20:00:00	4310.20	4313.90	4295.40	4302.40	9206	0	10
2014.03.24	00:00:00	4290.70	4300.30	4289.20	4298.50	1558	0	600
2014.03.24	04:00:00	4298.70	4308.80	4292.00	4296.50	1028	0	600
2014.03.24	08:00:00	4296.80	4332.10	4294.60	4304.10	15282	0	10
2014.03.24	12:00:00	4304.10	4329.60	4299.60	4309.60	14554	0	10
2014.03.24	16:00:00	4309.40	4309.60	4264.10	4291.10	23752	0	10
2014.03.24	20:00:00	4290.90	4299.10	4285.10	4289.70	6248	0	10
2014.03.25	00:00:00	4291.00	4297.00	4289.00	4292.50	951	0	600
2014.03.25	04:00:00	4292.40	4300.20	4291.80	4293.70	941	0	600
2014.03.25	08:00:00	4293.60	4326.60	4287.70	4323.10	13327	0	20
2014.03.25	12:00:00	4323.10	4350.10	4319.60	4346.10	12359	0	10
2014.03.25	16:00:00	4346.10	4365.60	4328.10	4360.40	21194	0	10
2014.03.25	20:00:00	4360.10	4363.10	4351.60	4352.60	4425	0	20
2014.03.26	00:00:00	4353.40	4363.80	4352.80	4362.00	804	0	600
2014.03.26	04:00:00	4362.10	4362.10	4358.50	4360.00	675	0	600
2014.03.26	08:00:00	4360.20	4385.10	4351.10	4378.10	12427	0	10
2014.03.26	12:00:00	4378.10	4399.10	4377.60	4389.60	15450	0	10
2014.03.26	16:00:00	4389.10	4394.10	4365.60	4372.60	19938	0	10
2014.03.26	20:00:00	4372.40	4378.60	4359.10	4364.70	8698	0	10
2014.03.27	00:00:00	4363.90	4364.60	4358.20	4364.50	1206	0	600
2014.03.27	04:00:00	4364.60	4367.60	4357.70	4367.00	1052	0	600
2014.03.27	08:00:00	4366.90	4389.10	4360.30	4387.60	10664	0	10
2014.03.27	12:00:00	4387.60	4390.60	4358.60	4370.10	16912	0	10
2014.03.27	16:00:00	4368.60	4384.10	4363.60	4377.60	26176	0	10
2014.03.27	20:00:00	4377.40	4382.60	4371.60	4379.90	8070	0	20
2014.03.28	00:00:00	4379.20	4384.30	4375.60	4383.20	1027	0	600
2014.03.28	04:00:00	4383.10	4388.30	4380.80	4386.10	881	0	600
2014.03.28	08:00:00	4386.20	4403.60	4381.30	4400.10	10854	0	10
2014.03.28	12:00:00	4399.90	4406.40	4387.60	4400.40	14494	0	40
2014.03.28	16:00:00	4400.10	4412.60	4393.10	4405.80	15656	0	30
2014.03.28	20:00:00	4405.60	4406.10	4395.60	4402.10	5649	0	40
2014.03.31	00:00:00	4416.30	4430.80	4388.30	4422.20	12154	0	0
2014.03.31	04:00:00	4422.00	4422.20	4414.80	4421.00	789	0	600
2014.03.31	08:00:00	4420.80	4431.10	4404.80	4412.20	9361	0	10
2014.03.31	12:00:00	4412.00	4417.10	4398.10	4416.30	10983	0	10
2014.03.31	16:00:00	4416.10	4424.90	4388.90	4399.40	19394	0	10
2014.03.31	20:00:00	4399.40	4403.40	4391.80	4395.50	5813	0	40
2014.04.01	00:00:00	4395.40	4397.60	4390.30	4394.90	565	0	600
2014.04.01	04:00:00	4395.10	4400.90	4394.90	4399.90	1437	0	600
2014.04.01	08:00:00	4400.00	4420.80	4398.70	4417.80	8295	0	20
2014.04.01	12:00:00	4417.60	4432.60	4414.30	4428.80	7028	0	40
2014.04.01	16:00:00	4428.80	4440.80	4417.80	4424.80	12715	0	20
2014.04.01	20:00:00	4424.30	4433.80	4422.80	4430.60	4273	0	40
2014.04.02	00:00:00	4430.10	4441.80	4420.30	4433.90	8840	0	0
2014.04.02	04:00:00	4433.40	4441.80	4433.00	4437.20	907	0	600
2014.04.02	08:00:00	4437.00	4440.80	4420.80	4426.30	8268	0	20
2014.04.02	12:00:00	4426.10	4433.50	4422.30	4427.80	7196	0	10
2014.04.02	16:00:00	4427.60	4438.30	4423.80	4433.30	11319	0	20
2014.04.02	20:00:00	4433.30	4435.50	4427.30	4431.50	3759	0	40
2014.04.03	00:00:00	4430.90	4469.80	4415.80	4431.10	10308	0	0
2014.04.03	04:00:00	4431.00	4434.10	4430.50	4432.50	649	0	600
2014.04.03	08:00:00	4432.30	4434.90	4420.90	4432.70	7329	0	40
2014.04.03	12:00:00	4432.40	4448.90	4415.90	4434.40	13582	0	10
2014.04.03	16:00:00	4434.40	4470.60	4434.40	4447.40	17441	0	10
2014.04.03	20:00:00	4447.20	4456.70	4443.90	4455.90	4980	0	60
2014.04.04	00:00:00	4455.70	4496.30	4445.80	4460.70	11361	0	0
2014.04.04	04:00:00	4460.50	4461.70	4458.10	4459.00	616	0	600
2014.04.04	08:00:00	4458.90	4461.80	4446.50	4458.50	6173	0	40
