<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.20	00:00:00	9218.50	9237.40	9198.80	9206.30	1285	0	800
2014.03.20	04:00:00	9205.70	9215.30	9192.50	9202.20	1752	0	800
2014.03.20	08:00:00	9203.10	9255.40	9180.80	9212.20	41112	0	10
2014.03.20	12:00:00	9212.20	9231.50	9161.10	9201.80	52686	0	10
2014.03.20	16:00:00	9201.80	9308.00	9194.80	9303.80	49849	0	10
2014.03.20	20:00:00	9303.60	9306.00	9279.30	9283.80	10636	0	10
2014.03.21	00:00:00	9277.10	9287.10	9272.20	9281.10	908	0	800
2014.03.21	04:00:00	9281.40	9299.60	9281.10	9297.80	845	0	800
2014.03.21	08:00:00	9297.50	9364.50	9292.60	9349.70	30268	0	10
2014.03.21	12:00:00	9349.50	9363.50	9307.20	9324.00	41502	0	10
2014.03.21	16:00:00	9324.00	9387.70	9305.20	9315.10	46083	0	10
2014.03.21	20:00:00	9314.40	9319.00	9277.80	9296.80	25010	0	10
2014.03.24	00:00:00	9278.70	9296.50	9270.40	9292.90	1547	0	800
2014.03.24	04:00:00	9293.20	9306.80	9283.10	9289.60	1026	0	800
2014.03.24	08:00:00	9290.20	9370.70	9262.20	9292.60	40181	0	10
2014.03.24	12:00:00	9292.60	9343.70	9280.20	9294.90	44537	0	10
2014.03.24	16:00:00	9294.90	9295.40	9186.30	9222.00	73019	0	10
2014.03.24	20:00:00	9222.00	9242.30	9211.80	9212.30	18502	0	10
2014.03.25	00:00:00	9214.90	9222.10	9205.80	9213.70	953	0	800
2014.03.25	04:00:00	9213.40	9232.00	9212.20	9223.60	941	0	800
2014.03.25	08:00:00	9223.30	9314.80	9202.60	9304.00	39186	0	10
2014.03.25	12:00:00	9303.80	9375.70	9293.50	9365.20	42384	0	10
2014.03.25	16:00:00	9367.40	9393.40	9313.70	9380.50	63748	0	10
2014.03.25	20:00:00	9380.50	9386.20	9362.00	9362.90	11674	0	10
2014.03.26	00:00:00	9364.50	9384.10	9362.90	9380.50	805	0	800
2014.03.26	04:00:00	9380.80	9380.80	9373.60	9376.60	675	0	800
2014.03.26	08:00:00	9376.90	9471.20	9368.70	9454.70	40958	0	10
2014.03.26	12:00:00	9454.70	9499.20	9448.20	9467.50	51322	0	10
2014.03.26	16:00:00	9467.40	9475.20	9423.70	9439.70	62549	0	10
2014.03.26	20:00:00	9439.50	9454.40	9399.10	9404.70	23113	0	10
2014.03.27	00:00:00	9403.00	9404.50	9391.60	9404.20	1206	0	800
2014.03.27	04:00:00	9404.50	9412.80	9388.60	9411.60	1057	0	800
2014.03.27	08:00:00	9411.30	9481.90	9406.70	9472.10	37407	0	10
2014.03.27	12:00:00	9471.90	9478.40	9406.50	9437.00	56551	0	10
2014.03.27	16:00:00	9434.50	9480.50	9422.00	9456.30	76683	0	10
2014.03.27	20:00:00	9456.20	9462.50	9439.00	9444.90	16549	0	10
2014.03.28	00:00:00	9443.40	9452.10	9436.50	9450.00	1025	0	800
2014.03.28	04:00:00	9449.70	9460.20	9445.20	9457.80	880	0	800
2014.03.28	08:00:00	9458.10	9557.60	9448.20	9550.10	27697	0	10
2014.03.28	12:00:00	9549.90	9579.60	9523.90	9570.40	42464	0	10
2014.03.28	16:00:00	9570.30	9602.90	9557.10	9584.30	44209	0	10
2014.03.28	20:00:00	9584.10	9587.10	9572.10	9584.10	13340	0	10
2014.03.31	00:00:00	9599.80	9635.40	9543.00	9633.30	34700	0	0
2014.03.31	04:00:00	9633.00	9633.30	9613.00	9619.60	803	0	800
2014.03.31	08:00:00	9617.60	9645.90	9598.50	9613.00	27999	0	10
2014.03.31	12:00:00	9613.00	9629.10	9577.10	9622.80	37915	0	10
2014.03.31	16:00:00	9622.60	9634.70	9552.20	9588.20	53858	0	10
2014.03.31	20:00:00	9588.20	9592.90	9553.50	9561.00	13269	0	20
2014.04.01	00:00:00	9560.70	9570.70	9557.70	9567.00	566	0	800
2014.04.01	04:00:00	9567.30	9579.00	9567.00	9576.90	1437	0	800
2014.04.01	08:00:00	9577.20	9628.60	9575.10	9608.60	30397	0	10
2014.04.01	12:00:00	9608.20	9636.30	9596.40	9621.60	27015	0	10
2014.04.01	16:00:00	9621.60	9642.50	9590.90	9608.00	42123	0	10
2014.04.01	20:00:00	9607.30	9631.10	9601.10	9616.10	10086	0	10
2014.04.02	00:00:00	9615.20	9646.50	9606.50	9619.70	29741	0	0
2014.04.02	04:00:00	9618.80	9637.90	9617.90	9627.20	902	0	800
2014.04.02	08:00:00	9626.90	9658.60	9616.10	9639.80	28891	0	10
2014.04.02	12:00:00	9639.80	9653.30	9616.60	9635.30	30866	0	10
2014.04.02	16:00:00	9635.30	9647.60	9618.60	9642.00	39864	0	10
2014.04.02	20:00:00	9642.00	9654.50	9630.50	9636.90	11864	0	20
2014.04.03	00:00:00	9635.70	9690.30	9590.50	9626.30	31245	0	0
2014.04.03	04:00:00	9626.00	9632.30	9625.10	9629.00	647	0	800
2014.04.03	08:00:00	9628.70	9648.60	9615.60	9629.40	26967	0	10
2014.04.03	12:00:00	9629.60	9664.30	9600.60	9637.30	39928	0	10
2014.04.03	16:00:00	9637.30	9702.30	9628.00	9634.10	48526	0	10
2014.04.03	20:00:00	9634.10	9647.90	9623.60	9638.10	12230	0	10
2014.04.04	00:00:00	9637.80	9720.50	9614.50	9649.10	37647	0	0
2014.04.04	04:00:00	9648.80	9651.20	9643.60	9644.80	613	0	800
2014.04.04	08:00:00	9644.50	9669.10	9636.10	9662.60	21687	0	10
2014.04.04	12:00:00	9662.60	9705.60	9659.60	9690.90	27467	0	10
2014.04.04	16:00:00	9690.40	9732.50	9656.70	9666.20	76888	0	10
2014.04.04	20:00:00	9666.20	9677.00	9625.70	9629.60	32770	0	10
2014.04.07	00:00:00	9617.30	9633.10	9450.50	9615.80	22002	0	0
2014.04.07	04:00:00	9615.50	9626.90	9614.80	9615.70	825	0	800
2014.04.07	08:00:00	9615.40	9633.20	9553.00	9582.70	41142	0	10
2014.04.07	12:00:00	9582.70	9620.80	9548.60	9566.10	39789	0	10
2014.04.07	16:00:00	9565.80	9575.80	9462.40	9485.00	68336	0	10
2014.04.07	20:00:00	9484.50	9515.10	9473.50	9488.30	27812	0	10
2014.04.08	00:00:00	9488.00	9526.80	9391.30	9495.10	42235	0	0
2014.04.08	04:00:00	9495.40	9507.40	9493.30	9498.80	879	0	800
2014.04.08	08:00:00	9499.10	9541.50	9494.00	9507.40	33976	0	10
2014.04.08	12:00:00	9507.20	9516.40	9402.50	9446.80	50592	0	10
2014.04.08	16:00:00	9446.60	9513.80	9422.80	9489.60	68685	0	10
2014.04.08	20:00:00	9489.60	9506.30	9465.90	9467.10	17609	0	10
2014.04.09	00:00:00	9467.70	9552.80	9465.90	9476.10	33246	0	0
2014.04.09	04:00:00	9476.70	9486.90	9472.80	9485.00	763	0	800
2014.04.09	08:00:00	9484.10	9554.00	9475.70	9542.70	32002	0	10
2014.04.09	12:00:00	9542.70	9550.80	9511.60	9538.20	31831	0	10
2014.04.09	16:00:00	9538.20	9546.40	9489.10	9527.30	50507	0	10
2014.04.09	20:00:00	9527.30	9565.10	9513.60	9541.50	18846	0	10
2014.04.10	00:00:00	9540.00	9580.50	9332.50	9545.60	49966	0	0
2014.04.10	04:00:00	9545.30	9546.20	9526.00	9533.20	810	0	800
2014.04.10	08:00:00	9532.90	9592.60	9531.50	9538.40	26970	0	10
2014.04.10	12:00:00	9538.40	9574.70	9447.70	9543.40	57950	0	10
2014.04.10	16:00:00	9543.20	9559.20	9416.00	9418.70	75946	0	10
2014.04.10	20:00:00	9418.70	9429.30	9341.20	9352.90	38932	0	10
2014.04.11	00:00:00	9352.90	9361.50	9340.00	9346.00	888	0	800
2014.04.11	04:00:00	9346.30	9358.00	9346.00	9350.20	880	0	800
2014.04.11	08:00:00	9349.30	9400.60	9327.40	9330.50	38296	0	10
2014.04.11	12:00:00	9332.80	9346.70	9268.10	9299.90	67054	0	10
2014.04.11	16:00:00	9299.40	9363.70	9267.60	9311.70	89092	0	10
2014.04.11	20:00:00	9311.70	9313.20	9269.60	9275.10	30841	0	10
2014.04.14	00:00:00	9245.60	9345.50	9194.00	9222.40	49040	0	0
2014.04.14	04:00:00	9221.20	9249.40	9220.30	9239.60	1023	0	800
2014.04.14	08:00:00	9239.90	9294.80	9204.60	9279.30	38473	0	10
2014.04.14	12:00:00	9279.10	9341.30	9222.30	9310.60	49289	0	10
2014.04.14	16:00:00	9310.60	9354.60	9281.30	9341.90	56997	0	10
2014.04.14	20:00:00	9341.90	9350.40	9296.10	9333.80	25117	0	10
2014.04.15	00:00:00	9333.80	9346.00	9332.30	9344.90	614	0	800
2014.04.15	04:00:00	9344.60	9351.60	9339.40	9342.40	609	0	800
2014.04.15	08:00:00	9342.10	9355.30	9269.00	9272.70	39142	0	10
2014.04.15	12:00:00	9273.20	9342.30	9244.40	9309.30	53742	0	10
2014.04.15	16:00:00	9307.10	9329.10	9101.00	9103.00	103758	0	10
2014.04.15	20:00:00	9102.30	9235.30	9093.50	9231.40	44587	0	10
2014.04.16	00:00:00	9231.40	9240.40	9211.80	9223.50	803	0	800
2014.04.16	04:00:00	9223.80	9251.10	9221.10	9244.70	1043	0	800
2014.04.16	08:00:00	9244.40	9293.20	9237.00	9270.30	39379	0	10
2014.04.16	12:00:00	9269.80	9288.70	9230.10	9283.40	46767	0	10
2014.04.16	16:00:00	9282.70	9356.70	9266.20	9323.40	68484	0	10
2014.04.16	20:00:00	9323.10	9362.90	9312.50	9320.00	23612	0	10
2014.04.17	00:00:00	9326.00	9467.00	9276.50	9317.00	35781	0	0
2014.04.17	04:00:00	9317.30	9322.10	9304.40	9310.80	902	0	800
2014.04.17	08:00:00	9310.50	9336.50	9284.50	9313.70	28970	0	10
2014.04.17	12:00:00	9313.70	9397.20	9295.30	9387.20	38969	0	10
2014.04.17	16:00:00	9387.20	9440.50	9373.00	9437.70	60905	0	10
2014.04.17	20:00:00	9437.50	9476.20	9436.60	9454.90	12105	0	10
2014.04.21	00:00:00	9468.50	9481.10	9443.90	9464.90	11848	0	0
2014.04.21	04:00:00	9465.20	9467.60	9455.90	9461.60	492	0	100
2014.04.21	08:00:00	9461.00	9465.80	9452.00	9460.20	292	0	100
2014.04.21	12:00:00	9459.30	9466.20	9447.10	9453.10	655	0	800
2014.04.21	16:00:00	9453.40	9481.10	9443.90	9466.70	6072	0	800
2014.04.21	20:00:00	9467.00	9477.20	9461.00	9467.30	3744	0	800
2014.04.22	00:00:00	9468.50	9613.30	9436.50	9463.30	29729	0	0
2014.04.22	04:00:00	9463.60	9471.40	9462.70	9468.40	719	0	800
2014.04.22	08:00:00	9468.10	9533.10	9444.40	9510.80	29256	0	10
2014.04.22	12:00:00	9510.30	9576.20	9503.00	9573.10	31498	0	10
2014.04.22	16:00:00	9573.10	9623.00	9560.60	9616.50	39448	0	10
2014.04.22	20:00:00	9616.50	9619.80	9597.30	9603.60	9598	0	20
2014.04.23	00:00:00	9604.20	9623.10	9538.80	9608.70	31566	0	0
2014.04.23	04:00:00	9609.30	9621.00	9609.30	9619.20	1353	0	800
2014.04.23	08:00:00	9619.50	9626.00	9579.00	9605.20	29328	0	10
2014.04.23	12:00:00	9604.80	9606.50	9569.80	9598.00	32330	0	10
2014.04.23	16:00:00	9598.00	9605.20	9548.00	9567.00	46696	0	10
2014.04.23	20:00:00	9566.50	9589.60	9557.00	9587.10	10013	0	20
2014.04.24	00:00:00	9587.10	9604.80	9580.90	9586.70	766	0	800
2014.04.24	04:00:00	9587.00	9589.70	9582.50	9584.60	781	0	800
2014.04.24	08:00:00	9584.00	9639.00	9578.50	9620.60	26293	0	10
2014.04.24	12:00:00	9620.60	9656.80	9560.30	9566.30	39029	0	10
2014.04.24	16:00:00	9566.30	9567.80	9417.40	9550.40	78701	0	10
2014.04.24	20:00:00	9550.40	9552.10	9512.30	9524.00	18581	0	10
2014.04.25	00:00:00	9524.00	9526.30	9505.70	9512.90	890	0	800
2014.04.25	04:00:00	9513.20	9517.40	9506.30	9506.30	941	0	800
2014.04.25	08:00:00	9507.20	9528.40	9437.30	9475.00	41500	0	10
2014.04.25	12:00:00	9475.00	9495.80	9413.20	9471.30	45960	0	10
2014.04.25	16:00:00	9470.50	9474.80	9375.30	9420.30	22850	0	10
2014.04.25	20:00:00	9420.80	9423.30	9399.90	9413.00	6074	0	10
2014.04.28	00:00:00	9424.10	9497.00	9371.80	9395.90	45137	0	0
2014.04.28	04:00:00	9396.20	9411.80	9396.20	9409.40	837	0	800
2014.04.28	08:00:00	9409.10	9496.80	9405.00	9489.10	10809	0	10
2014.04.28	12:00:00	9489.20	9505.50	9419.20	9423.90	12081	0	10
2014.04.28	16:00:00	9424.00	9499.70	9414.30	9436.70	26265	0	10
2014.04.28	20:00:00	9437.10	9482.20	9379.80	9467.80	12797	0	10
2014.04.29	00:00:00	9467.80	9478.30	9462.40	9470.80	694	0	800
2014.04.29	04:00:00	9471.10	9485.20	9469.90	9482.80	687	0	800
2014.04.29	08:00:00	9483.10	9559.40	9475.00	9514.80	13444	0	10
2014.04.29	12:00:00	9515.10	9596.30	9495.50	9566.90	14411	0	10
2014.04.29	16:00:00	9566.60	9619.60	9545.00	9608.30	22173	0	10
2014.04.29	20:00:00	9608.50	9610.70	9572.20	9574.60	4842	0	10
2014.04.30	00:00:00	9574.60	9577.60	9565.30	9570.40	860	0	800
2014.04.30	04:00:00	9569.80	9572.20	9565.60	9568.00	1003	0	800
2014.04.30	08:00:00	9568.30	9611.40	9558.90	9605.40	30607	0	10
2014.04.30	12:00:00	9605.40	9624.60	9570.00	9600.00	40535	0	10
2014.04.30	16:00:00	9598.50	9623.10	9583.80	9617.20	50466	0	10
2014.04.30	20:00:00	9617.00	9630.50	9602.10	9620.80	25033	0	10
2014.05.01	00:00:00	9620.80	9625.80	9616.00	9617.80	727	0	800
2014.05.01	04:00:00	9618.10	9620.80	9610.00	9613.60	735	0	800
2014.05.01	08:00:00	9613.30	9625.30	9612.40	9620.50	679	0	100
2014.05.01	12:00:00	9619.60	9622.00	9610.30	9612.70	790	0	800
2014.05.01	16:00:00	9612.40	9632.50	9583.50	9619.00	6592	0	800
2014.05.01	20:00:00	9618.40	9622.30	9588.10	9616.60	5198	0	800
2014.05.02	00:00:00	9616.60	9622.60	9613.70	9617.90	602	0	800
2014.05.02	04:00:00	9618.20	9621.30	9612.30	9616.40	679	0	800
2014.05.02	08:00:00	9617.00	9635.60	9581.30	9605.10	20345	0	10
2014.05.02	12:00:00	9604.10	9631.00	9559.80	9564.90	20907	0	10
2014.05.02	16:00:00	9564.90	9616.30	9535.10	9553.70	44781	0	10
2014.05.02	20:00:00	9553.70	9569.70	9537.90	9562.20	9448	0	10
2014.05.05	00:00:00	9548.50	9559.00	9403.00	9550.90	25263	0	0
2014.05.05	04:00:00	9550.60	9550.60	9533.80	9537.70	925	0	800
2014.05.05	08:00:00	9538.30	9553.70	9419.50	9435.50	17802	0	10
2014.05.05	12:00:00	9435.50	9442.40	9407.90	9427.40	26283	0	10
2014.05.05	16:00:00	9427.40	9539.70	9411.90	9522.30	34378	0	10
2014.05.05	20:00:00	9522.30	9549.50	9519.50	9535.20	6270	0	40
2014.05.06	00:00:00	9536.10	9581.50	9433.50	9535.90	37741	0	0
2014.05.06	04:00:00	9536.20	9542.20	9535.90	9541.30	363	0	800
2014.05.06	08:00:00	9541.60	9586.50	9477.40	9505.00	35576	0	10
2014.05.06	12:00:00	9504.50	9545.40	9443.30	9455.90	36511	0	10
2014.05.06	16:00:00	9455.70	9495.30	9443.00	9471.30	57298	0	10
2014.05.06	20:00:00	9471.30	9472.50	9436.30	9450.00	19113	0	10
2014.05.07	00:00:00	9450.00	9452.40	9436.80	9442.20	772	0	800
2014.05.07	04:00:00	9442.80	9445.20	9435.60	9440.30	1043	0	800
2014.05.07	08:00:00	9440.00	9475.00	9394.30	9475.00	23368	0	10
2014.05.07	12:00:00	9474.50	9548.30	9444.40	9517.70	30757	0	10
2014.05.07	16:00:00	9517.70	9556.10	9452.70	9522.90	51004	0	10
2014.05.07	20:00:00	9522.50	9551.10	9518.60	9547.70	10018	0	10
2014.05.08	00:00:00	9547.70	9550.40	9535.80	9538.80	772	0	800
2014.05.08	04:00:00	9538.50	9556.40	9531.90	9553.10	1516	0	800
2014.05.08	08:00:00	9553.40	9591.20	9538.40	9578.70	19594	0	10
2014.05.08	12:00:00	9578.70	9586.70	9484.80	9556.10	39559	0	10
2014.05.08	16:00:00	9556.10	9623.50	9536.80	9601.60	48829	0	10
2014.05.08	20:00:00	9601.10	9606.30	9554.10	9559.90	21576	0	10
2014.05.09	00:00:00	9560.20	9617.30	9551.80	9560.20	37584	0	0
2014.05.09	04:00:00	9560.50	9564.10	9557.30	9562.30	843	0	800
2014.05.09	08:00:00	9561.10	9604.80	9559.30	9571.00	25394	0	10
2014.05.09	12:00:00	9570.50	9602.50	9557.60	9594.50	28421	0	10
2014.05.09	16:00:00	9594.50	9618.80	9557.80	9612.70	39932	0	10
2014.05.09	20:00:00	9612.70	9615.70	9587.50	9599.30	10109	0	10
2014.05.12	00:00:00	9595.90	9742.10	9585.50	9612.70	31053	0	0
2014.05.12	04:00:00	9613.30	9621.90	9607.60	9614.30	779	0	800
2014.05.12	08:00:00	9614.00	9623.80	9585.10	9604.60	23799	0	10
2014.05.12	12:00:00	9604.60	9686.40	9602.60	9679.80	28448	0	10
2014.05.12	16:00:00	9679.80	9714.30	9672.30	9705.00	41324	0	10
2014.05.12	20:00:00	9704.50	9742.10	9703.30	9740.30	7402	0	10
2014.05.13	00:00:00	9740.30	9746.10	9734.30	9745.20	880	0	800
2014.05.13	04:00:00	9744.90	9754.70	9740.40	9751.20	883	0	800
2014.05.13	08:00:00	9750.90	9788.80	9732.60	9776.80	23528	0	10
2014.05.13	12:00:00	9776.80	9788.10	9743.50	9762.50	31510	0	10
2014.05.13	16:00:00	9762.50	9775.30	9740.00	9762.60	33818	0	10
2014.05.13	20:00:00	9762.60	9767.90	9756.00	9759.60	12178	0	20
2014.05.14	00:00:00	9759.60	9765.00	9752.40	9759.90	708	0	800
2014.05.14	04:00:00	9760.20	9770.10	9758.40	9764.20	743	0	800
2014.05.14	08:00:00	9764.50	9781.60	9746.00	9756.40	12534	0	10
2014.05.14	12:00:00	9756.20	9762.40	9736.60	9748.90	20744	0	10
2014.05.14	16:00:00	9748.50	9772.60	9741.70	9759.70	42996	0	10
2014.05.14	20:00:00	9759.50	9765.80	9723.40	9730.20	9643	0	10
2014.05.15	00:00:00	9730.20	9736.60	9721.90	9728.50	925	0	800
2014.05.15	04:00:00	9729.10	9737.50	9724.60	9727.40	1076	0	800
2014.05.15	08:00:00	9727.70	9816.20	9708.70	9734.40	26117	0	10
2014.05.15	12:00:00	9732.90	9779.60	9728.40	9752.30	30966	0	10
2014.05.15	16:00:00	9752.00	9753.50	9633.30	9663.90	65343	0	10
2014.05.15	20:00:00	9663.90	9680.90	9653.30	9665.90	12072	0	10
2014.05.16	00:00:00	9666.20	9680.00	9573.00	9667.50	39518	0	0
2014.05.16	04:00:00	9667.20	9669.30	9653.80	9657.40	1047	0	800
2014.05.16	08:00:00	9657.70	9684.80	9629.30	9655.60	15943	0	10
2014.05.16	12:00:00	9655.60	9664.50	9578.30	9620.90	23641	0	10
2014.05.16	16:00:00	9620.70	9656.70	9595.80	9614.50	26962	0	10
2014.05.16	20:00:00	9614.00	9647.40	9605.60	9643.40	8295	0	10
2014.05.19	00:00:00	9639.00	9678.50	9531.50	9637.90	33381	0	0
2014.05.19	04:00:00	9637.60	9637.60	9627.80	9628.40	793	0	800
2014.05.19	08:00:00	9627.80	9637.00	9533.20	9562.80	17197	0	10
2014.05.19	12:00:00	9562.30	9656.80	9546.80	9614.10	16857	0	10
2014.05.19	16:00:00	9613.60	9680.10	9612.70	9657.90	21527	0	10
2014.05.19	20:00:00	9657.90	9673.80	9654.20	9658.10	4578	0	20
2014.05.20	00:00:00	9657.80	9686.80	9588.80	9650.90	36139	0	0
2014.05.20	04:00:00	9650.60	9661.40	9650.60	9659.30	620	0	800
2014.05.20	08:00:00	9659.60	9689.10	9626.50	9637.90	16396	0	10
2014.05.20	12:00:00	9637.70	9667.40	9623.30	9640.20	13531	0	10
2014.05.20	16:00:00	9639.30	9662.10	9611.70	9622.50	23904	0	10
2014.05.20	20:00:00	9622.00	9635.30	9590.80	9612.40	10710	0	10
2014.05.21	00:00:00	9612.40	9612.40	9600.10	9604.90	542	0	800
2014.05.21	04:00:00	9604.60	9615.90	9600.70	9609.10	1066	0	800
2014.05.21	08:00:00	9609.40	9655.70	9582.20	9645.20	13406	0	10
2014.05.21	12:00:00	9645.20	9702.20	9636.00	9693.50	13831	0	10
2014.05.21	16:00:00	9691.50	9712.20	9676.10	9699.30	23382	0	10
2014.05.21	20:00:00	9699.00	9707.50	9684.90	9689.40	11228	0	10
2014.05.22	00:00:00	9689.70	9695.70	9685.80	9692.40	596	0	800
2014.05.22	04:00:00	9692.10	9730.40	9689.70	9726.20	1573	0	800
2014.05.22	08:00:00	9725.00	9740.20	9706.50	9711.60	12010	0	10
2014.05.22	12:00:00	9711.60	9726.70	9688.00	9707.40	12058	0	10
2014.05.22	16:00:00	9706.90	9734.90	9700.00	9718.40	16766	0	10
