<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.20	00:00:00	14572.00	14585.00	14326.00	14371.00	2395	0	300
2014.03.20	04:00:00	14371.00	14391.00	14201.00	14232.00	2719	0	100
2014.03.20	08:00:00	14232.00	14372.00	14227.00	14357.00	3868	0	100
2014.03.20	12:00:00	14355.00	14362.00	14272.00	14292.00	6023	0	300
2014.03.20	16:00:00	14292.00	14402.00	14292.00	14387.00	7245	0	100
2014.03.20	20:00:00	14387.00	14392.00	14342.00	14344.00	929	0	200
2014.03.21	00:00:00	14352.00	14417.00	14322.00	14372.00	492	0	700
2014.03.21	04:00:00	14372.00	14422.00	14356.00	14402.00	368	0	400
2014.03.21	08:00:00	14407.00	14440.00	14330.00	14440.00	2260	0	300
2014.03.21	12:00:00	14435.00	14480.00	14415.00	14440.00	2771	0	300
2014.03.21	16:00:00	14440.00	14483.00	14380.00	14398.00	3779	0	200
2014.03.21	20:00:00	14395.00	14415.00	14280.00	14335.00	3218	0	100
2014.03.24	00:00:00	14295.00	14482.00	14274.00	14477.00	1595	0	300
2014.03.24	04:00:00	14472.00	14517.00	14446.00	14466.00	1813	0	700
2014.03.24	08:00:00	14466.00	14541.00	14451.00	14483.00	3763	0	100
2014.03.24	12:00:00	14483.00	14531.00	14434.00	14445.00	4172	0	100
2014.03.24	16:00:00	14440.00	14445.00	14346.00	14402.00	8929	0	300
2014.03.24	20:00:00	14402.00	14457.00	14373.00	14382.00	2097	0	300
2014.03.25	00:00:00	14385.00	14454.00	14304.00	14404.00	1368	0	700
2014.03.25	04:00:00	14404.00	14529.00	14394.00	14424.00	1465	0	700
2014.03.25	08:00:00	14421.00	14424.00	14344.00	14405.00	3814	0	300
2014.03.25	12:00:00	14409.00	14499.00	14394.00	14469.00	4268	0	500
2014.03.25	16:00:00	14469.00	14494.00	14394.00	14444.00	8011	0	300
2014.03.25	20:00:00	14444.00	14465.00	14419.00	14461.00	1760	0	600
2014.03.26	00:00:00	14463.00	14569.00	14399.00	14459.00	1595	0	800
2014.03.26	04:00:00	14459.00	14484.00	14399.00	14469.00	1609	0	800
2014.03.26	08:00:00	14464.00	14529.00	14449.00	14519.00	2744	0	500
