<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.20	00:00:00	1858.90	1861.50	1854.90	1856.90	816	0	40
2014.03.20	04:00:00	1856.70	1858.40	1853.20	1856.10	1301	0	20
2014.03.20	08:00:00	1856.10	1860.80	1854.00	1857.80	1742	0	20
2014.03.20	12:00:00	1857.80	1860.30	1852.70	1857.80	2819	0	20
2014.03.20	16:00:00	1857.60	1873.60	1855.60	1872.60	5368	0	20
2014.03.20	20:00:00	1872.60	1874.10	1868.40	1872.60	1403	0	10
2014.03.21	00:00:00	1872.00	1873.00	1870.50	1871.70	429	0	40
2014.03.21	04:00:00	1871.30	1875.20	1871.30	1874.30	335	0	40
2014.03.21	08:00:00	1874.50	1880.10	1874.10	1879.30	1314	0	20
2014.03.21	12:00:00	1879.00	1884.30	1876.80	1879.80	2601	0	20
2014.03.21	16:00:00	1879.80	1883.30	1870.00	1871.00	4633	0	20
2014.03.21	20:00:00	1870.80	1872.50	1863.30	1866.30	3892	0	20
2014.03.24	00:00:00	1862.80	1867.50	1862.30	1867.00	869	0	40
2014.03.24	04:00:00	1867.00	1868.80	1864.00	1864.30	831	0	20
2014.03.24	08:00:00	1864.30	1872.00	1864.00	1868.80	1510	0	20
2014.03.24	12:00:00	1868.80	1873.50	1864.30	1866.00	3050	0	20
2014.03.24	16:00:00	1865.80	1866.00	1849.30	1857.30	8196	0	20
2014.03.24	20:00:00	1857.00	1862.30	1854.50	1857.80	2499	0	20
2014.03.25	00:00:00	1857.70	1859.40	1856.90	1857.40	635	0	40
2014.03.25	04:00:00	1857.40	1861.20	1857.00	1858.40	597	0	40
2014.03.25	08:00:00	1858.40	1860.40	1855.70	1859.20	1807	0	10
2014.03.25	12:00:00	1859.20	1869.60	1858.20	1867.80	2678	0	20
2014.03.25	16:00:00	1867.80	1871.30	1855.40	1865.90	6999	0	20
2014.03.25	20:00:00	1865.90	1868.10	1863.60	1866.20	1986	0	20
2014.03.26	00:00:00	1865.60	1870.10	1865.60	1869.70	519	0	40
2014.03.26	04:00:00	1869.40	1869.60	1867.90	1868.40	493	0	40
2014.03.26	08:00:00	1868.40	1870.70	1866.40	1869.40	1346	0	20
2014.03.26	12:00:00	1869.40	1875.90	1869.40	1871.60	3304	0	10
2014.03.26	16:00:00	1871.40	1873.90	1857.90	1861.10	7048	0	10
